	Uid	Pid	recommendor_value	used_before_flag	row_count_new	row_count_overall
0	U-101	21	1.9779046472613087	1	1	1
1	U-101	1	1.4029718494326606	1	2	2
2	U-101	33	1.3628354161273308	1	3	3
3	U-101	19	1.235478487831749	1	4	4
4	U-101	6	1.1637012425807485	1	5	5
5	U-101	38	1.020553596447726	1	6	6
6	U-101	29	0.9532512292496479	1	7	7
7	U-101	22	0.9449423935454102	1	8	8
8	U-101	37	0.9448838283358802	1	9	9
9	U-101	24	0.9337092131770179	1	10	10
10	U-101	34	0.8706361474333741	1	11	11
11	U-101	39	0.8493069055814746	0	1	12
12	U-101	12	0.8011804502810438	0	2	13
13	U-101	10	0.766074400481123	0	3	14
14	U-101	17	0.7550576607095112	1	12	15
15	U-101	4	0.7495861386548163	0	4	16
16	U-101	28	0.7475465382528372	0	5	17
17	U-101	25	0.7061670029634335	1	13	18
18	U-101	5	0.6886650194767935	1	14	19
19	U-101	14	0.6676840244004745	1	15	20
20	U-101	35	0.6584481718991213	0	6	21
21	U-101	32	0.6168352567282336	1	16	22
22	U-101	11	0.5491962847975569	0	7	23
23	U-101	20	0.5406281976584482	0	8	24
24	U-101	30	0.44244255783591857	0	9	25
25	U-101	8	0.4344310854982612	0	10	26
26	U-101	16	0.27376932384821245	1	17	27
27	U-101	18	0.21622964362564107	0	11	28
28	U-101	27	0.1843283484768904	0	12	29
29	U-101	13	0.1720186022277359	0	13	30
30	U-101	31	0.13897935158074087	0	14	31
31	U-101	23	0.07793743517767976	0	15	32
32	U-101	7	0.04435471670502811	0	16	33
33	U-101	15	0.018887588685141843	0	17	34
34	U-101	3	-0.051679137118731955	0	18	35
35	U-101	40	-0.056461008131816426	0	19	36
36	U-101	9	-0.06321143684702024	0	20	37
37	U-101	36	-0.10029590066468408	0	21	38
38	U-101	2	-0.18832841182994686	0	22	39
39	U-101	26	-0.4506468623767781	0	23	40
40	U-102	31	1.8317527082207832	1	1	1
41	U-102	35	1.2931688259808227	1	2	2
42	U-102	25	1.1706228177728395	1	3	3
43	U-102	32	1.0831175236601294	1	4	4
44	U-102	17	1.0124315285335408	1	5	5
45	U-102	13	0.9473913810401662	1	6	6
46	U-102	30	0.9159754467747666	1	7	7
47	U-102	5	0.9007178299914923	1	8	8
48	U-102	4	0.8897746016510328	0	1	9
49	U-102	20	0.8575232698681176	0	2	10
50	U-102	2	0.8299619677956611	1	9	11
51	U-102	9	0.7345888580333964	1	10	12
52	U-102	19	0.7242527019429601	0	3	13
53	U-102	40	0.7166240742197426	0	4	14
54	U-102	34	0.6999972088438485	0	5	15
55	U-102	16	0.6316983914331896	1	11	16
56	U-102	11	0.6153769466714641	0	6	17
